Gender,Secondary Education Percentage (10th Grade),Higher Secondary Education Percentage (12th Grade),Specialization in Higher Secondary Education,Degree Percentage,Degree Type,Work Experience,MBA Specialization,MBA percentage,Placement Status,Salary
M,67.0,91.0,Commerce,58.0,Sci&Tech,No,Mkt&HR,58.8,Placed,3571.9
M,79.33,78.33,Science,77.48,Sci&Tech,Yes,Mkt&Fin,66.28,Placed,2645.85
M,65.0,68.0,Arts,64.0,Comm&Mgmt,No,Mkt&Fin,57.8,Placed,3307.32
M,56.0,52.0,Science,52.0,Sci&Tech,No,Mkt&HR,59.43,Not Placed,
M,85.8,73.6,Commerce,73.3,Comm&Mgmt,No,Mkt&Fin,55.5,Placed,5622.44
M,55.0,49.8,Science,67.25,Sci&Tech,Yes,Mkt&Fin,51.58,Not Placed,
F,46.0,49.2,Commerce,79.0,Comm&Mgmt,No,Mkt&Fin,53.29,Not Placed,
M,82.0,64.0,Science,66.0,Sci&Tech,Yes,Mkt&Fin,62.14,Placed,3333.77
M,73.0,79.0,Commerce,72.0,Comm&Mgmt,No,Mkt&Fin,61.29,Placed,3055.96
M,58.0,70.0,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,52.21,Not Placed,
M,58.0,61.0,Commerce,60.0,Comm&Mgmt,Yes,Mkt&HR,60.85,Placed,3439.61
M,69.6,68.4,Commerce,78.3,Comm&Mgmt,Yes,Mkt&Fin,63.7,Placed,3307.32
F,47.0,55.0,Science,65.0,Comm&Mgmt,No,Mkt&HR,65.04,Not Placed,
F,77.0,87.0,Commerce,59.0,Comm&Mgmt,No,Mkt&Fin,68.63,Placed,2883.98
M,62.0,47.0,Commerce,50.0,Comm&Mgmt,No,Mkt&HR,54.96,Not Placed,
F,65.0,75.0,Commerce,69.0,Comm&Mgmt,Yes,Mkt&Fin,64.66,Placed,2645.85
M,63.0,66.2,Commerce,65.6,Comm&Mgmt,Yes,Mkt&Fin,62.54,Placed,3968.78
F,55.0,67.0,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,67.28,Not Placed,
F,63.0,66.0,Commerce,64.0,Comm&Mgmt,No,Mkt&HR,64.08,Not Placed,
M,60.0,67.0,Arts,70.0,Comm&Mgmt,Yes,Mkt&Fin,77.89,Placed,3122.11
M,62.0,65.0,Commerce,66.0,Comm&Mgmt,No,Mkt&HR,56.7,Placed,3505.75
F,79.0,76.0,Commerce,85.0,Comm&Mgmt,No,Mkt&Fin,69.06,Placed,5199.1
F,69.8,60.8,Science,72.23,Sci&Tech,No,Mkt&HR,68.81,Placed,4762.53
F,77.4,60.0,Science,64.74,Sci&Tech,Yes,Mkt&Fin,63.62,Placed,3968.78
M,76.5,97.7,Science,78.86,Sci&Tech,No,Mkt&Fin,74.01,Placed,4762.53
F,52.58,54.6,Commerce,50.2,Comm&Mgmt,Yes,Mkt&Fin,65.33,Not Placed,
M,71.0,79.0,Commerce,66.0,Comm&Mgmt,Yes,Mkt&Fin,57.55,Placed,3175.02
M,63.0,67.0,Commerce,66.0,Comm&Mgmt,No,Mkt&HR,57.69,Placed,3505.75
M,76.76,76.5,Commerce,67.5,Comm&Mgmt,Yes,Mkt&Fin,64.15,Placed,4630.24
M,62.0,67.0,Commerce,58.0,Comm&Mgmt,No,Mkt&Fin,51.29,Not Placed,
F,64.0,73.5,Commerce,73.0,Comm&Mgmt,No,Mkt&HR,56.7,Placed,3307.32
F,67.0,53.0,Science,65.0,Sci&Tech,No,Mkt&HR,58.32,Not Placed,
F,61.0,81.0,Commerce,66.4,Comm&Mgmt,No,Mkt&HR,62.21,Placed,3677.74
F,87.0,65.0,Science,81.0,Comm&Mgmt,Yes,Mkt&Fin,72.78,Placed,3439.61
M,62.0,51.0,Science,52.0,Others,No,Mkt&HR,62.77,Not Placed,
F,69.0,78.0,Commerce,72.0,Comm&Mgmt,No,Mkt&HR,62.74,Placed,3968.78
M,51.0,44.0,Commerce,57.0,Comm&Mgmt,No,Mkt&Fin,51.45,Not Placed,
F,79.0,76.0,Science,65.6,Sci&Tech,No,Mkt&HR,55.47,Placed,4233.36
F,73.0,58.0,Science,66.0,Comm&Mgmt,No,Mkt&HR,56.86,Placed,3175.02
M,81.0,68.0,Science,64.0,Sci&Tech,No,Mkt&Fin,62.56,Placed,5437.23
F,78.0,77.0,Commerce,80.0,Comm&Mgmt,No,Mkt&Fin,66.72,Placed,3796.8
F,74.0,63.16,Commerce,65.0,Comm&Mgmt,Yes,Mkt&HR,69.76,Not Placed,
